longitud,latitud,iata_code,airport_name,region,country,dep_amount,pass_amount
-26.6967835,141.049092,AAB,Arrabury Airport,"Arrabury, Queensland",Australia,1,No info
57.0864352,9.868075521300991,AAL,Aalborg Airport,Aalborg,Denmark,14,2778
9.4298739,-64.47086334549915,AAO,Anaco Airport,Anaco,Venezuela,5,3
56.151811949999995,10.250511600000019,AAR,Aarhus Airport,Aarhus,Denmark,3,18
53.741006299999995,91.38466471327489,ABA,Abakan Airport,"Abakan, Khakassia",Russia,1,No info
5.264928299999999,-3.925957338659794,ABJ,Port Bouet Airport,Abidjan,Côte d'Ivoire,25,2808
57.2006008,-2.2038568,ABZ,Aberdeen Airport,"Aberdeen, Scotland",United Kingdom,25,3895
5.60428935,-0.167967625794569,ACC,Kotoka International Airport,Accra,Ghana,13235,2275345
47.4880387,9.5525806,ACH,St. Gallen Altenrhein Airport,Altenrhein,Switzerland,2,6
8.97958075,38.79727968929066,ADD,Bole International Airport,Addis Ababa,Ethiopia,11657,2581805
-34.947240449999995,138.5330688373241,ADL,Adelaide Airport,"Adelaide, South Australia",Australia,27,10
-34.5594401,-58.414399011867516,AEP,Jorge Newbery Airpark,Buenos Aires,Argentina,10,239
43.44397145,39.94009276010438,AER,Adler-Sochi International Airport,"Sochi, Krasnodar",Russia,23,2991
65.65698725,-18.070607134573716,AEY,Akureyri Airport,Akureyri,Iceland,9,903
30.3284136,-9.409092283353985,AGA,Al Massira Airport,Agadir,Morocco,12,1
21.7008112,-102.31747865736617,AGU,Lic. Jesús Terán Peredo International Airport,Aguascalientes,Mexico,48473,2069898
40.63087935,8.288375274221512,AHO,Fertilia Airport (Alghero Airport),"Alghero, Sardinia",Italy,3,132
-10.98281225,-37.07602527743482,AJU,Santa Maria Airport,"Aracaju, Sergipe",Brazil,5,510
43.6686785,142.45138689279045,AKJ,Asahikawa Airport,"Asahikawa, Hokkaido",Japan,27,5874
-37.00889695,174.7912138412501,AKL,Auckland Airport,Mangere,New Zealand,97848,24490727
7.2473989,5.3016281387638555,AKR,Akure Airport,Akure,Nigeria,2,10
43.355686250000005,77.04258378940835,ALA,Almaty International Airport,Almaty,Kazakhstan,21,44
38.284417700000006,-0.5657529081106044,ALC,El Altet Airport,Alicante,Spain,10,363
36.7013497,3.21090318335027,ALG,Houari Boumediene Airport,Algiers,Algeria,28,2
-1.9170984500000001,-54.72274925876043,ALT,Alenquer Airport,"Alenquer, Pará",Brazil,48,1845
23.0759129,72.63051649394484,AMD,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,295,55441
-4.1015945,141.67032568802875,AMF,Ama Airport,Ama,Papua New Guinea,5,361
31.72380235,36.007236991673565,AMM,Queen Alia International Airport,Amman,Jordan,21527,3898626
52.32697895,4.741505200022974,AMS,Amsterdam Airport Schiphol,Haarlemmermeer,Netherlands,628107,126092797
-23.452375699999997,-70.43973434352753,ANF,Cerro Moreno International Airport,Antofagasta,Chile,214,4811
51.1881429,4.463473861141249,ANR,Antwerp International Airport,Antwerp,Belgium,53,163
-13.709079,-73.35160446460571,ANS,Andahuaylas Airport,Andahuaylas,Peru,7,No info
43.61716225,13.364858030368092,AOI,Falconara Airport,Ancona,Italy,3,No info
40.7340525,140.689686,AOJ,Aomori Airport,Aomori,Japan,151,23268
29.60999645,35.01893698710137,AQJ,King Hussein International Airport,Aqaba,Jordan,3,No info
-16.3423105,-71.56895878830176,AQP,Rodriguez Ballon International Airport,Arequipa,Peru,9,No info
64.599209,40.71860470831429,ARH,Talagi Airport,Arkhangelsk,Russia,4,1328
59.6467921,17.937044334194475,ARN,Stockholm Arlanda Airport,Stockholm,Sweden,72187,12939293
37.9837541,58.36266734224667,ASB,Ashgabat Airport,Ashgabat,Turkmenistan,1,No info
10.02259785,34.57871305512564,ASO,Asosa Airport,Asosa,Ethiopia,3,No info
-23.807330200000003,133.89880396690052,ASP,Alice Springs Airport,"Alice Springs, Northern Territory",Australia,4,No info
31.70858515,74.80044741056383,ATQ,Sri Guru Ram Dass Jee International Airport,Amritsar,India,3,225
12.50213495,-70.01412635032392,AUA,Queen Beatrix International Airport,Oranjestad,Aruba,264173,32917805
24.44088915,54.65040371277427,AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,32822,8212956
-9.9274741,149.39037940175524,AUP,Agaun Airport,Agaun,Papua New Guinea,1,No info
46.03136845,12.602047622830732,AVB,Aviano Air Base,"Aviano, Pordenone",Italy,21,647
